ID,Taxon,Specimens,MiL,CML,species,genus
em_6,Erymnochelys madagascariensis,BSZ_843-20,31.87,278.14,em,er
em_7,Erymnochelys madagascariensis,NMW_139,11.1,84.99,em,er
pd_4,Peltocephalus dumerilianus,AMNH_131886,54.11,397.74,pd,pe
pd_5,Peltocephalus dumerilianus,ICN_7324,55.2,352.38,pd,pe
pd_6,Peltocephalus dumerilianus,CRI_3344,68.95,398.28,pd,pe
pd_7,Peltocephalus dumerilianus,INPA-H_22885,41.65,282.25,pd,pe
pd_8,Peltocephalus dumerilianus,CRI_3295,26.9,203.35,pd,pe
pe_2,Podocnemis erythrocephala,INPA-H_10268,22.59,229.33,pe,po
px_6,Podocnemis expansa,NMW_35550,48.04,518.17,px,po
pl_1,Podocnemis lewyana,ICN_5769,29.83,348.05,pl,po
ps_1,Podocnemis sextuberculata,INPA-H_8930,28.16,279.87,ps,po
ps_3,Podocnemis sextuberculata,USNM_065111,22.02,217.41,ps,po
ps_5,Podocnemis sextuberculata,USNM_065110,22.17,226.55,ps,po
pu_2,Podocnemis unifilis,MTKD_45847,29.54,298.07,pu,po
pu_3,Podocnemis unifilis,CRI_11120,41.59,459.58,pu,po
pu_4,Podocnemis unifilis,INPA-H_8942,36.97,412.93,pu,po
pu_5,Podocnemis unifilis,MPEG_0168,15.38,117.53,pu,po
pu_7,Podocnemis unifilis,MTKD_43353,30.05,287.74,pu,po
pv_2,Podocnemis vogli,UF_39060,21.96,222.16,pv,po
pv_3,Podocnemis vogli,USNM_266206,33.5,379.26,pv,po
